,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,148,4628130341,ریزپردازنده و زبان اسمبلی,نظري,3,0,99999297,,يكشنبه از 12:30 تا 14:45,فریبا مجیدی,,50,,1403/11/01 از 08:00 تا 10:00,فنی مهندسی-کلاس 418,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,149,4628147873,مدارهای منطقی,نظري,3,0,99999296,,چهارشنبه از 07:45 تا 10:00,شادی شانه ساز زاده,,50,,1404/03/22 از 09:00 تا 11:00,فنی مهندسی-کلاس 421,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,150,4628129685,ریاضی‌ عمومی‌ 2,نظري,3,0,1513013,,چهارشنبه از 10:45 تا 12:15 چهارشنبه از ...,,,25,,1404/03/18 از 15:00 تا 17:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,151,1884107859,آمار و احتمال مهندسی,نظري,3,0,1517003,,سه شنبه از 07:45 تا 10:15,,,50,,1404/03/27 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,152,1884107859,آمار و احتمال مهندسی,نظري,3,0,1517002,,يكشنبه از 07:45 تا 10:15,,,50,,1404/03/27 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,153,1884107859,آمار و احتمال مهندسی,نظري,3,0,1517001,,يكشنبه از 12:30 تا 15:00,,,50,,1404/03/27 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,154,1884107859,آمار و احتمال مهندسی,نظري,3,0,1517000,,يكشنبه از 10:15 تا 12:30,,,50,,1404/03/27 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,155,4628107851,آمار و احتمال مهندسی,نظري,3,0,1517003,,سه شنبه از 07:45 تا 10:15,,,50,,1404/03/27 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,156,4628107851,آمار و احتمال مهندسی,نظري,3,0,1517002,,يكشنبه از 07:45 تا 10:15,,,50,,1404/03/27 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,157,4628107851,آمار و احتمال مهندسی,نظري,3,0,1517001,,يكشنبه از 12:30 تا 15:00,,,50,,1404/03/27 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,158,4628107851,آمار و احتمال مهندسی,نظري,3,0,1517000,,يكشنبه از 10:15 تا 12:30,,,50,,1404/03/27 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,159,7000031530,آمار و احتمال مهندسی,نظري,3,0,1517003,,سه شنبه از 07:45 تا 10:15,مهدی خدادادی پور شهرضا,,50,,1404/03/27 از 09:00 تا 11:00,فنی مهندسی-کلاس 413,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,160,7000031530,آمار و احتمال مهندسی,نظري,3,0,1517002,,يكشنبه از 07:45 تا 10:15,مهدی خدادادی پور شهرضا,,50,,1404/03/27 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 12,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,161,7000031530,آمار و احتمال مهندسی,نظري,3,0,1517001,,يكشنبه از 12:30 تا 15:00,سمیه عباسی,,50,,1404/03/27 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 12,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,162,7000031530,آمار و احتمال مهندسی,نظري,3,0,1517000,,يكشنبه از 10:15 تا 12:30,سمیه عباسی,,50,,1404/03/27 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 12,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,163,7000031528,ریاضی عمومی 2,نظري,3,0,1513013,,چهارشنبه از 10:45 تا 12:15 چهارشنبه از ...,سمیرا ابوطالبی,,50,,1404/03/18 از 15:00 تا 17:00,فنی مهندسی-کلاس 413,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,164,7000031536,ریاضیات گسسته,نظري,3,0,1511011,,پنج شنبه از 10:15 تا 12:30,احمد بیابانی دهکردی,,50,,1404/03/31 از 09:00 تا 11:00,فنی مهندسی-کلاس 413,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
